회원번호,카테고리
0,0
1,1
2,0
3,2
4,3
5,2
5,4
5,0
6,1
7,5
7,1
8,5
9,6
10,0
11,1
12,7
13,8
14,0
15,0
15,9
16,1
17,10
17,5
18,0
19,11
20,11
21,0
22,5
23,2
23,0
23,10
24,12
24,2
25,1
25,3
26,0
27,3
28,1
29,3
30,2
31,1
32,2
32,0
33,1
34,0
35,2
35,0
35,13
36,5
37,0
38,6
38,14
39,0
40,13
40,0
41,1
41,10
41,3
42,2
43,15
44,0
45,5
45,0
46,1
47,1
48,0
49,0
50,10
50,1
50,3
51,1
52,5
53,10
54,2
55,16
56,5
56,0
56,14
57,17
58,2
58,5
58,0
59,13
59,0
60,0
61,0
62,1
62,0
63,4
63,10
64,0
65,14
66,0
67,1
68,0
69,0
69,18
70,1
70,10
70,14
70,0
71,0
72,5
73,1
74,19
74,5
74,16
74,13
75,9
76,0
76,2
77,1
78,1
79,8
80,0
80,19
81,0
82,5
83,1
84,1
84,13
85,10
85,20
85,2
86,10
86,2
87,0
88,0
89,1
90,0
91,3
92,2
92,0
93,0
94,5
94,9
95,0
96,0
97,0
98,9
98,0
98,11
98,16
98,14
98,19
98,12
98,2
98,7
98,4
98,10
98,21
98,17
99,14
99,1
99,20
99,8
99,22
100,0
101,0
101,10
101,5
102,0
102,23
102,10
103,11
103,1
103,10
104,0
105,0
106,1
106,0
107,1
108,15
109,0
110,5
111,0
112,8
112,2
113,0
113,1
114,0
115,12
115,24
116,5
117,8
118,0
118,10
119,10
119,3
120,0
120,5
121,0
122,3
123,0
124,10
124,0
124,24
124,13
125,6
126,20
126,10
127,2
128,0
129,1
130,5
130,20
130,14
130,19
130,4
131,16
131,17
131,23
132,13
132,0
132,2
133,18
133,0
133,2
133,8
133,1
134,3
135,1
136,2
136,5
136,0
137,14
137,10
138,18
138,2
138,0
139,1
140,0
140,15
141,0
142,1
143,0
144,0
144,10
145,0
145,1
145,3
146,1
146,10
147,0
147,13
147,8
148,5
148,10
148,1
148,24
148,2
149,10
149,8
149,0
150,2
150,0
151,23
151,14
152,0
153,0
154,0
155,0
155,5
156,8
157,19
157,20
157,15
157,2
157,5
158,1
159,16
159,14
159,3
160,19
160,10
160,14
161,0
161,8
161,3
162,1
163,11
164,0
164,3
165,0
165,13
166,5
166,10
167,0
168,21
168,0
169,8
169,1
170,1
171,5
171,1
172,9
172,0
172,13
173,15
173,1
174,8
174,7
174,14
174,0
174,23
174,21
174,5
174,13
174,18
174,2
175,6
175,18
176,0
177,10
177,9
177,1
177,2
177,5
177,14
178,1
178,8
179,5
179,3
180,0
181,10
181,0
181,13
181,5
181,4
181,21
182,5
182,24
182,2
182,19
182,0
182,10
182,20
183,11
184,0
184,13
184,11
184,6
184,2
185,0
186,11
187,13
188,24
189,1
190,0
191,10
191,24
191,2
192,13
193,10
194,0
195,0
195,2
196,0
196,2
197,0
198,0
198,10
199,1
200,5
201,0
202,0
203,10
203,8
204,0
204,2
205,18
205,0
205,24
205,23
206,0
207,1
208,0
209,6
209,18
209,14
209,0
209,13
209,5
209,16
210,1
211,1
211,5
212,0
213,0
214,24
214,5
214,20
214,2
214,10
214,0
215,0
216,0
217,0
217,9
217,23
217,7
217,19
218,0
219,9
219,5
219,17
220,11
221,0
222,12
223,15
223,20
224,2
225,0
225,20
225,24
226,0
227,0
228,1
229,0
230,11
231,2
231,5
231,21
231,19
231,10
231,3
231,16
231,14
231,13
231,0
231,9
231,11
231,7
232,14
232,20
232,10
232,18
232,0
233,0
233,19
234,0
235,0
235,2
236,1
237,0
237,13
237,5
238,0
239,18
239,0
240,0
240,14
240,2
241,0
241,5
242,0
242,5
242,10
242,3
243,10
243,13
243,18
244,0
244,5
245,0
246,0
247,0
248,0
248,24
248,13
248,8
249,0
250,0
251,5
251,0
252,0
252,3
252,2
252,23
252,17
253,24
253,11
253,13
253,0
254,13
255,6
255,1
255,11
256,6
257,0
258,0
259,5
259,1
260,0
261,20
262,0
263,6
264,23
264,9
264,5
264,10
264,20
264,2
264,6
264,1
264,17
264,0
264,8
264,19
265,2
266,0
267,0
268,5
268,1
268,13
269,0
270,0
271,14
271,11
272,10
273,0
273,9
273,2
274,5
274,10
274,3
274,19
274,9
275,13
275,0
275,18
275,4
276,0
277,10
277,5
277,2
278,0
278,2
278,14
278,5
278,1
278,3
278,4
278,23
278,10
278,17
279,0
279,16
279,1
279,5
280,0
281,0
282,19
282,14
282,5
283,0
284,0
285,5
286,14
287,14
287,10
287,16
288,0
289,0
290,0
291,0
291,14
291,24
291,13
291,7
292,6
292,13
293,1
294,1
295,0
296,0
296,19
297,0
298,0
299,5
299,0
299,1
299,16
300,2
301,0
302,0
303,17
304,0
305,0
305,23
306,0
307,0
308,23
308,10
308,5
308,19
308,4
308,18
308,14
308,9
308,2
309,0
310,0
310,13
310,9
310,5
311,5
311,10
311,0
311,2
311,11
311,19
312,0
313,0
313,10
313,17
313,1
314,0
315,5
315,2
315,9
316,0
316,3
317,1
318,0
319,19
320,16
321,13
321,0
322,0
323,10
323,0
323,1
323,14
323,19
323,5
324,6
325,0
326,0
326,17
326,1
326,3
327,1
328,1
329,20
329,0
330,17
331,0
332,0
332,6
333,0
333,14
333,24
334,10
334,0
335,0
336,8
336,13
337,6
337,23
338,0
338,1
339,0
339,1
340,0
341,0
341,20
341,10
342,0
342,13
342,10
343,5
343,20
343,12
344,1
344,10
344,0
345,0
345,10
346,8
346,0
347,0
348,1
349,1
350,18
351,0
351,14
351,10
352,0
352,6
353,9
353,7
353,13
353,4
354,0
355,0
356,0
356,8
356,13
357,0
358,1
359,0
360,1
361,0
361,1
362,0
362,3
363,16
363,0
363,5
364,0
365,5
366,0
367,0
368,0
368,6
368,13
369,8
369,17
370,2
370,23
370,14
370,0
370,13
371,0
372,0
372,11
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,0
382,0
382,10
383,0
383,5
383,10
383,16
383,14
384,0
385,0
386,0
387,0
388,0
389,0
390,0
390,24
391,0
392,0
392,14
392,10
393,0
393,18
394,0
395,0
395,13
396,0
397,0
398,0
399,1
399,23
400,1
401,0
401,5
402,0
402,24
403,6
404,13
404,0
404,5
405,0
406,0
406,20
407,0
408,0
409,0
409,10
410,0
411,2
412,8
413,11
413,0
414,7
414,9
415,0
415,4
416,9
416,19
416,14
416,10
416,18
417,1
418,3
419,24
419,0
419,11
420,0
420,17
421,7
422,1
422,10
423,0
423,7
423,24
423,20
423,15
424,0
425,13
425,19
426,0
427,0
428,13
429,13
430,0
430,18
430,8
431,0
431,20
431,15
431,24
431,23
431,14
431,12
431,5
431,13
432,0
433,3
433,0
434,0
435,0
436,14
437,1
438,21
438,0
439,0
440,1
440,8
440,0
440,11
441,0
441,19
441,9
442,0
443,0
444,7
445,0
446,19
446,9
446,5
447,0
447,1
447,10
448,0
448,10
449,1
450,0
451,17
452,1
453,0
454,0
455,0
456,17
457,0
457,8
457,20
457,5
458,14
459,0
459,2
459,11
460,0
461,21
461,0
461,7
461,19
462,0
462,8
462,9
463,0
463,2
463,23
464,5
464,0
465,0
465,1
466,0
466,5
466,14
466,2
467,8
467,0
467,5
468,0
468,5
469,0
469,5
470,0
471,0
471,13
471,5
471,9
472,0
472,24
473,10
473,5
474,0
475,0
475,13
476,0
476,23
476,10
477,0
478,0
479,0
480,0
480,14
480,10
480,12
481,10
481,5
481,14
482,0
483,0
484,0
485,5
486,0
487,0
488,0
489,8
489,16
490,13
490,0
491,8
491,1
491,0
492,0
493,0
493,10
494,13
495,0
495,19
495,10
496,2
496,7
496,1
496,0
497,0
498,0
499,0
500,13
500,4
501,0
502,0
503,0
504,13
504,5
504,19
504,6
504,10
505,0
505,1
506,0
506,1
507,0
508,0
509,3
509,16
509,0
510,0
511,0
512,0
513,5
513,0
514,6
514,1
514,10
515,4
516,6
517,10
517,0
518,0
519,0
520,0
521,17
522,1
523,0
523,8
524,1
525,10
525,5
526,0
527,0
528,0
529,0
530,0
531,3
532,5
532,0
533,5
533,6
534,0
535,13
535,0
535,14
535,3
535,2
535,5
535,23
536,0
537,10
538,1
538,0
538,20
539,0
540,9
540,0
540,10
540,19
540,13
540,17
540,5
541,5
541,0
542,2
543,0
543,16
544,0
545,0
545,10
546,3
546,10
547,3
547,11
547,0
548,0
548,5
549,18
549,7
549,9
549,0
549,14
550,0
551,0
552,23
552,2
552,0
553,16
553,0
554,11
554,0
554,1
555,2
555,17
556,0
557,1
557,0
558,15
558,20
559,0
560,0
560,5
560,10
560,16
560,3
561,10
561,21
561,0
561,3
561,13
561,18
562,19
